Metric,Value,CI_Low,CI_High
Accuracy,0.9708171206225681,0.9591439688715954,0.980544747081712
F1,0.97131931166348,0.9598505176449165,0.9809162905339351
AUC,0.9930937239760769,0.9880912414660386,0.9969655868126911
