train_loss,train_acc,val_loss,val_acc,val_auc,val_f1,lr
0.039960636359949904,0.6429918290383406,0.027974819933826275,0.8883587786259542,0.9513330419580418,0.8921658986175115,8.429104980177244e-05
0.03178770070274671,0.7999161952650324,0.022434955180594414,0.9284351145038168,0.9774184149184149,0.9298409728718429,0.0002285809230759461
0.030045022976895173,0.8242195684056149,0.019992150874300438,0.9398854961832062,0.9747741841491842,0.9409559512652296,0.0002999999548716761
0.028934259588519733,0.830923947203017,0.01917574272462816,0.9351145038167938,0.9797166375291375,0.9363295880149812,0.0002989722049265498
0.028515466749668122,0.8279907814791536,0.017671202760979984,0.9465648854961832,0.9820658508158507,0.9482439926062847,0.0002959298695831796
0.02736411426216364,0.8369997904881625,0.018162644496469788,0.9227099236641222,0.9808202214452214,0.9223394055608821,0.0002909140912080073
0.026630272703866163,0.8434946574481458,0.015500069059657328,0.9484732824427481,0.9852017773892774,0.949814126394052,0.0002839926995990703
0.024715640967090925,0.8661219358893778,0.015095316381617025,0.9465648854961832,0.9783617424242423,0.9467680608365019,0.0002752592947043435
0.024159188233315945,0.8573224387177876,0.01332986947487701,0.9541984732824428,0.9834316724941723,0.9549718574108818,0.00026483198084301286
0.023717066384851933,0.8514561072700607,0.012738103357454142,0.9513358778625954,0.9843786421911422,0.9524697110904008,0.00025285176954716385
0.02244001753007372,0.8604651162790697,0.011543694375590845,0.9522900763358778,0.9883850524475525,0.9533582089552238,0.00023948067262271353
0.021927260545392832,0.8541797611565053,0.012456475757062435,0.9437022900763359,0.9899038461538462,0.9444967074317968,0.00022489951121766366
0.020799987067778906,0.8610936517913262,0.010728346014564688,0.9618320610687023,0.9902134324009324,0.9616122840690979,0.00020930547052627014
0.019349034018814562,0.8734548501990362,0.010288973705786648,0.9618320610687023,0.9938993298368298,0.9618320610687023,0.00019290943319755864
0.018957408610731363,0.8763880159228996,0.010820978532799265,0.9599236641221374,0.9930652680652681,0.9599236641221374,0.00017593312750926204
0.018447469224532446,0.8770165514351561,0.009972344124407478,0.9666030534351145,0.9952105186480187,0.9672591206735267,0.0001586061288732357
0.01853630776827534,0.8770165514351561,0.010335828304629435,0.958969465648855,0.9935897435897435,0.9587727708533078,0.00014116275522184496
0.017761485601464906,0.8818353236957888,0.009793823387360933,0.9694656488549618,0.9957641317016317,0.9694656488549618,0.0001238388982598985
0.01701112184363107,0.8866540959564215,0.010332063334344915,0.9675572519083969,0.9941178613053613,0.9681647940074907,0.00010686883343400911
0.018155867600192627,0.8795306934841819,0.009420708047621178,0.9685114503816794,0.995826048951049,0.9687795648060549,9.048205175907429e-05
0.01762112117682894,0.8826733710454641,0.009230359612653652,0.9713740458015268,0.9964197261072261,0.9717514124293786,7.49001563459875e-05
0.016512794472898048,0.8927299392415672,0.010560768656432629,0.9580152671755725,0.9955965909090909,0.9573643410852714,6.0333865599720393e-05
0.016340854406977693,0.8885397024931909,0.009439497170123186,0.9694656488549618,0.9963141025641026,0.9694656488549618,4.6980163614378984e-05
0.01580302805950244,0.9006913890634821,0.009657044358777277,0.9646946564885496,0.9965581293706294,0.9647283126787417,3.501963630125466e-05
0.01599912433574597,0.897339199664781,0.009323442453574953,0.9704198473282443,0.9966637529137529,0.9704480457578646,2.461402927416535e-05
0.015666684800138077,0.8960821286402681,0.009706785493163448,0.9675572519083969,0.9961356351981352,0.9674952198852772,1.5904060517501443e-05
0.015989866672704616,0.8954535931280118,0.009583920085181793,0.9723282442748091,0.9960810023310024,0.9723018147086915,9.007517416885638e-06
0.016037482141206663,0.8965011523151059,0.009420796622042402,0.9704198473282443,0.9967293123543123,0.9703915950334289,4.017663886845251e-06
0.016379889355351528,0.8916823800544731,0.009499730626967821,0.9685114503816794,0.9968021561771563,0.9686013320647003,1.001979136360753e-06
0.0162920824252069,0.8891682380054473,0.009322632160602194,0.9713740458015268,0.9964270104895105,0.9715909090909091,1.2451283238527583e-09
